temperature,pressure,speed,humidity,defects
75.06,2.226,99.8,48.7,32.9
76.01,2.568,103.6,62.6,29.6
69.53,2.896,105.6,35.4,35.8
76.98,3.343,101.8,30.7,36.0
75.3,2.324,102.9,42.4,31.9
68.49,2.931,114.7,52.8,32.6
74.74,2.573,112.3,49.7,30.4
74.6,2.455,71.3,70.5,27.7
83.99,2.63,96.8,48.9,34.6
79.47,2.519,98.4,56.5,38.6
75.06,2.533,82.5,59.7,30.1
76.24,2.378,100.9,31.1,36.1
75.22,2.081,112.5,55.8,33.2
73.99,2.037,89.1,47.2,32.9
69.59,2.696,103.4,51.1,32.1
74.24,2.417,90.8,35.0,35.2
71.27,2.321,93.3,69.1,30.3
68.75,2.503,114.8,77.1,28.6
77.56,2.738,94.6,31.1,29.9
76.96,2.554,104.6,60.1,33.2
66.07,2.303,81.3,68.2,25.4
74.39,2.868,118.6,44.2,36.8
79.98,2.974,106.0,69.4,34.7
80.3,2.648,98.2,61.6,42.4
80.13,2.792,105.8,76.5,30.8
75.19,2.873,85.9,79.1,33.2
70.77,2.839,111.8,32.1,30.5
69.58,2.684,96.8,52.2,30.4
76.72,2.68,98.0,57.3,34.6
76.9,2.656,95.1,37.3,26.9
81.44,2.171,94.2,46.8,35.6
80.5,2.71,106.9,79.4,41.9
74.34,2.093,102.6,30.8,32.2
68.78,2.262,106.5,52.6,33.2
73.4,2.891,99.9,72.1,36.5
76.09,2.752,105.1,46.2,34.2
73.99,2.946,95.8,54.0,31.5
72.11,2.418,122.3,78.9,28.2
76.26,2.154,84.3,53.7,34.3
72.48,2.428,112.6,36.5,33.9
71.86,2.531,113.7,32.6,31.2
76.56,2.524,91.5,77.3,33.8
72.99,2.84,122.3,43.3,33.8
76.22,2.392,110.0,55.2,33.5
76.37,2.606,109.7,34.5,37.0
69.3,2.203,100.3,51.2,27.9
72.59,2.635,97.8,76.5,36.0
82.19,2.501,97.9,55.1,31.5
69.19,2.275,103.9,78.6,30.3
64.42,2.429,114.0,42.9,37.7
65.69,2.445,101.8,55.2,34.5
75.15,2.419,90.9,73.0,33.1
75.15,3.031,108.2,52.4,32.1
74.41,2.47,109.2,44.0,32.9
81.07,2.427,106.5,72.8,36.4
61.64,1.871,107.5,49.5,30.3
76.98,2.232,97.3,56.5,33.7
82.81,2.421,90.7,78.8,35.0
69.36,2.294,91.3,39.3,30.4
73.1,2.915,83.6,45.1,27.4
71.24,2.451,102.4,31.6,31.3
70.53,2.887,99.2,49.6,35.3
73.37,2.519,95.6,40.0,28.7
82.14,2.511,70.4,64.0,32.4
84.19,2.473,87.5,39.1,32.8
73.32,2.501,111.2,63.7,34.7
84.53,3.016,93.4,43.2,35.0
75.18,1.804,103.6,47.8,38.2
83.77,1.9,86.1,47.4,36.2
74.53,2.337,114.4,65.8,31.0
75.66,2.504,98.6,53.3,35.8
76.83,2.707,102.9,48.1,32.4
90.89,2.642,123.3,72.6,39.2
79.26,2.385,115.2,58.6,37.4
71.46,2.806,96.9,40.7,31.1
79.84,2.809,94.1,75.0,37.4
73.19,2.555,96.7,47.1,30.6
72.55,2.789,105.1,31.9,31.8
79.54,2.582,98.9,54.7,33.1
75.16,2.332,96.0,36.2,31.6
76.39,2.709,114.7,41.9,39.0
75.07,2.533,98.9,67.4,35.6
76.68,2.5,123.0,36.5,41.7
77.12,2.942,100.9,70.3,41.5
65.32,1.765,117.9,76.8,29.2
78.33,2.075,103.6,60.3,35.1
70.09,2.144,109.6,65.5,29.5
67.79,2.391,92.8,65.7,28.5
74.71,2.424,91.5,79.6,30.9
75.42,2.048,104.6,47.1,30.9
71.53,2.204,109.9,38.1,30.4
79.16,2.242,100.4,56.0,34.5
68.29,3.237,87.1,56.7,27.2
72.97,3.041,86.4,38.9,34.6
72.08,2.376,85.7,60.7,28.6
74.77,2.391,82.3,30.7,40.3
76.39,2.155,101.1,76.4,32.8
69.96,1.928,111.3,43.2,33.3
78.62,2.465,99.9,32.0,30.9
75.32,2.201,77.4,35.4,36.6
65.54,2.475,98.1,42.0,34.1
65.21,2.02,98.4,43.7,31.3
74.94,2.271,121.0,31.6,31.7
73.9,2.545,85.4,44.0,32.6
74.48,2.61,96.1,39.6,29.9
74.86,2.625,117.1,48.9,39.9
76.13,2.104,104.5,49.3,36.8
79.74,2.756,105.6,47.0,36.1
69.44,2.26,101.1,46.4,24.8
69.14,2.69,103.3,34.5,29.5
69.53,2.497,107.8,31.3,34.9
76.44,2.087,91.9,40.1,36.8
81.22,2.405,108.8,67.8,39.8
72.84,2.61,86.3,79.5,27.0
62.49,2.684,103.3,76.4,31.3
66.48,2.458,101.8,55.2,34.4
70.83,2.96,93.8,56.6,27.1
72.21,2.802,99.8,45.7,33.0
72.96,2.423,93.8,68.7,33.3
75.19,2.725,89.3,68.2,31.9
73.44,3.08,96.5,72.2,27.7
80.25,3.088,89.0,74.8,33.5
71.62,2.132,103.2,51.7,31.9
70.69,2.222,88.5,68.3,30.7
77.39,2.945,107.1,70.3,33.7
67.32,2.183,88.2,45.4,28.8
76.95,2.103,94.3,76.5,33.5
75.51,2.354,93.8,34.7,34.5
74.26,2.626,113.3,79.7,34.0
82.94,2.469,103.3,68.5,35.2
71.89,2.305,97.9,34.7,32.8
85.3,2.298,105.0,62.8,31.5
73.87,2.286,78.9,31.7,32.6
68.61,2.236,99.6,68.5,31.7
75.35,3.184,120.0,70.0,36.3
69.62,2.589,101.3,60.1,35.2
71.24,2.766,100.7,72.8,27.0
76.99,2.353,105.5,34.9,28.9
77.78,2.444,109.0,43.8,36.3
71.89,2.286,80.0,50.7,30.7
79.94,1.704,83.2,32.1,33.7
80.79,2.087,102.1,52.4,34.1
82.18,1.957,92.9,43.3,36.9
77.65,1.825,113.1,49.6,38.3
81.82,2.141,96.8,51.3,36.8
65.6,2.897,80.7,74.0,28.4
73.41,2.487,87.3,43.5,25.7
70.66,2.887,72.5,74.7,32.2
75.6,2.623,97.7,51.3,37.4
72.14,2.735,98.1,46.4,34.8
74.17,2.23,95.8,55.1,30.3
84.41,2.657,110.8,50.9,39.8
74.15,2.719,112.0,42.9,37.4
77.07,2.327,98.3,55.1,38.8
73.84,2.668,78.7,37.6,28.7
75.38,2.67,106.2,47.6,33.9
75.03,2.335,105.6,58.3,36.5
77.24,2.163,103.1,50.7,34.7
80.83,2.145,109.8,71.2,32.9
83.24,2.526,88.4,42.8,36.3
76.55,2.598,120.1,78.5,38.0
77.95,2.262,90.4,69.2,33.8
69.25,2.508,107.5,78.4,33.4
74.56,2.671,83.1,71.9,31.2
79.7,2.685,90.7,37.1,38.8
79.33,2.966,115.2,56.3,34.1
76.06,2.883,97.4,38.5,32.2
79.43,2.2,108.4,70.9,35.8
77.45,3.005,102.4,59.2,37.6
81.0,2.341,99.0,43.2,30.9
76.45,2.813,113.6,76.5,31.8
73.22,2.52,97.6,35.8,26.9
76.68,2.376,82.2,58.2,32.5
60.35,1.958,92.0,66.1,24.9
76.91,2.449,105.5,32.9,33.7
56.76,2.032,104.0,59.9,30.4
66.38,2.79,84.3,70.8,27.8
77.26,2.955,92.8,33.4,34.6
77.39,2.261,94.2,55.6,32.9
69.19,2.591,96.3,42.9,33.7
71.44,2.282,86.2,63.1,32.6
81.85,2.311,93.7,35.9,33.0
72.58,2.732,92.7,76.9,31.9
86.21,2.488,107.7,74.7,41.0
74.99,3.022,108.1,39.3,36.0
77.04,2.355,98.5,46.2,30.0
83.08,2.8,96.1,59.4,37.9
75.66,2.529,101.4,65.9,30.8
69.99,2.739,91.8,52.1,35.8
74.45,2.366,88.5,37.8,35.4
74.82,2.485,90.6,35.2,33.6
68.18,2.465,93.7,80.0,31.5
73.72,2.249,88.4,52.8,31.5
71.29,2.699,101.6,73.6,34.9
79.62,2.695,107.3,54.1,34.9
75.17,2.678,84.1,76.1,33.0
73.59,2.961,100.3,34.4,36.2
74.47,2.935,97.8,35.7,31.9
76.12,2.388,103.4,76.5,32.5
78.08,2.612,99.9,77.4,31.1
70.0,2.313,85.5,45.7,27.5
69.79,2.507,87.4,47.8,25.4
80.52,2.32,100.3,52.6,37.5
72.94,2.986,110.3,50.8,39.8
67.92,2.609,77.9,39.5,33.7
77.22,2.435,103.5,74.9,29.9
77.32,2.858,111.9,42.7,38.0
67.35,1.849,98.5,65.3,35.2
76.15,1.896,105.5,33.4,33.0
78.68,2.739,93.0,31.9,34.6
76.87,2.518,98.8,62.7,28.2
78.16,2.575,83.8,47.0,33.9
67.98,2.102,76.6,62.8,25.9
76.66,2.493,109.4,34.7,35.8
73.49,3.101,90.2,77.5,27.9
72.59,2.747,95.4,67.4,34.3
79.35,2.551,86.1,73.8,36.8
82.4,2.368,85.9,36.8,32.1
83.97,2.382,98.3,46.0,32.8
81.57,1.861,92.7,48.4,28.2
74.45,2.577,103.8,56.9,33.2
76.76,2.754,104.5,44.8,33.1
78.83,2.027,103.2,33.0,30.3
75.61,2.302,102.4,48.4,35.4
75.65,2.153,115.8,42.7,34.0
79.12,2.21,89.3,49.3,30.5
74.7,2.516,99.5,39.8,32.0
71.35,1.875,111.3,43.1,36.7
72.93,2.684,112.6,61.3,36.3
78.17,2.726,85.8,49.4,33.0
75.01,2.425,96.9,47.3,35.3
76.7,1.756,113.6,56.7,31.8
78.35,2.201,105.1,68.6,35.2
73.13,2.87,102.0,48.9,34.0
78.78,1.667,97.8,59.4,32.8
76.89,2.396,96.2,78.3,35.2
68.83,2.146,102.9,56.1,29.7
